id_client;sexe;metier;employeur;Enfants;enfant_conduite_accompagne;Valeur résidence principale par tranches;Revenus par tranches;formation;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tarif_devis
334788395;F;technico-commercial en agroalimentaire;Berthelot Lopes S.A.R.L.;OUI;0; 0k-300k;20k-40k;z_High School;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;14/01/2022 07:11;complet;dev_express;257,94
645904097;M;conducteur de travaux;Navarro et Fils;OUI;0; 0k-300k;20k-40k;<High School;Commercial;Minivan;yes;6;5.0;z_Highly Rural/ Rural;09/04/2022 11:49;complet;dev_integral;320,63
160311489;F;ingénieur en génie climatique;Roche Dijoux S.A.R.L.;NON;0; 0k-300k;Pas de revenus;Bachelors;Private;z_SUV;no;3;9.0;Highly Urban/ Urban;23/03/2022 06:12;complet;dev_express;257,69
944419063;M;biostatisticien;Hebert;NON;0; 0k-300k;20k-40k;<High School;Private;z_SUV;no;2;6.0;z_Highly Rural/ Rural;04/02/2022 17:14;complet;dev_premium;406,26
594467420;M;technicien d'analyses biomédicales;Gautier Joseph S.A.;OUI;1; 0k-300k;70k-100k;Masters;Private;Sports Car;no;0;12.0;Highly Urban/ Urban;05/02/2022 18:50;complet;dev_express;269
999482663;F;ingénieur de recherche clinique et épidémiologique;Rocher;NON;0; 0k-300k;20k-40k;Bachelors;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;08/02/2022 09:59;complet;dev_integral;302,56
125992610;F;responsable du service après-vente;Olivier;NON;0; 0k-300k;20k-40k;Bachelors;Commercial;Sports Car;no;0;15.0;Highly Urban/ Urban;06/02/2022 22:30;complet;dev_express;264,33
294957776;F;sellier;Sanchez S.A.;OUI;0;300k-600k;70k-100k;Masters;Private;z_SUV;no;2;14.0;Highly Urban/ Urban;09/02/2022 14:28;complet;dev_integral;284,9
234108296;F;responsable du back office;Ledoux;NON;0; 0k-300k;Pas de revenus;Masters;Private;Minivan;no;0;15.0;Highly Urban/ Urban;26/05/2022 21:39;complet;dev_integral;280,03
858966351;M;maroquinier;Léger;NON;0; 0k-300k;40k-70k;z_High School;Private;z_SUV;no;1;11.0;z_Highly Rural/ Rural;04/03/2022 15:36;complet;dev_premium;416,72
737298009;F;professeur de collège et de lycée;Texier;OUI;2; 0k-300k;Pas de revenus;Bachelors;Private;Sports Car;no;0;10.0;Highly Urban/ Urban;31/05/2022 13:11;complet;dev_express;260,27
716232766;F;éducateur de la protection judiciaire de la jeunesse (PJJ);Chrétien;OUI;0; 0k-300k;-20k;<High School;Private;z_SUV;no;5;8.0;Highly Urban/ Urban;30/04/2022 23:20;complet;dev_express;257,99
137443614;M;conducteur de travaux;Moreau;OUI;0; 0k-300k;-20k;Bachelors;Commercial;Pickup;yes;0;10.0;Highly Urban/ Urban;20/03/2022 04:00;complet;dev_express;260,17
417088161;F;collecteur de fonds;Michel;OUI;1; 0k-300k;40k-70k;z_High School;Private;Pickup;yes;0;;Highly Urban/ Urban;02/04/2022 11:25;complet;dev_premium;417,16
976068152;M;commerçant en alimentation;Klein Lemaître S.A.R.L.;NON;0; 0k-300k;70k-100k;Bachelors;Private;z_SUV;no;0;13.0;Highly Urban/ Urban;02/01/2022 20:05;complet;dev_integral;324,91
786289554;F;mécanicien bateaux;Martineau Nicolas S.A.S.;NON;0; 0k-300k;70k-100k;Masters;Private;z_SUV;no;4;15.0;Highly Urban/ Urban;24/02/2022 21:52;complet;dev_express;262,87
16380140;M;technicien électronicien électronicienne;Merle Lenoir S.A.;OUI;0; 0k-300k;-20k;<High School;Private;z_SUV;no;1;1.0;Highly Urban/ Urban;05/04/2022 02:47;complet;dev_express;278,71
443540965;F;hôtesse de l'air;Antoine SARL;NON;0;300k-600k;Pas de revenus;Masters;Commercial;Panel Truck;yes;1;13.0;Highly Urban/ Urban;21/02/2022 11:50;complet;dev_integral;309,66
380033719;M;responsable du back office;Marie Mary S.A.;NON;0; 0k-300k;70k-100k;Bachelors;Commercial;Van;yes;0;7.0;Highly Urban/ Urban;21/03/2022 00:37;complet;dev_integral;281,99
490636474;F;directeur d'hôpital;Dubois;OUI;1; 0k-300k;40k-70k;<High School;Private;Van;yes;1;1.0;z_Highly Rural/ Rural;03/04/2022 12:30;complet;dev_integral;295,63
220536762;F;tailleur de pierre;Gaillard;NON;0; 0k-300k;20k-40k;<High School;Commercial;Pickup;yes;7;1.0;Highly Urban/ Urban;28/03/2022 23:57;complet;dev_integral;311,33
466727453;F;rédacteur on line;Maillard S.A.S.;OUI;0; 0k-300k;40k-70k;<High School;Private;Minivan;no;1;5.0;Highly Urban/ Urban;21/03/2022 07:59;complet;dev_express;272,78
670054779;M;géologue minier;Renault Nicolas SARL;NON;0; 0k-300k;Pas de revenus;Bachelors;Private;Minivan;no;0;7.0;Highly Urban/ Urban;23/05/2022 09:33;complet;dev_express;283,84
303541974;F;conducteur de travaux  agricoles;Vallet;NON;0; 0k-300k;40k-70k;Masters;Private;Sports Car;no;0;19.0;Highly Urban/ Urban;03/05/2022 20:20;complet;dev_express;278,62
522831508;F;gestionnaire de données cliniques;Arnaud Bègue et Fils;NON;0; 0k-300k;70k-100k;Bachelors;Commercial;Minivan;no;5;8.0;z_Highly Rural/ Rural;11/04/2022 14:51;complet;dev_express;266,25
185382071;M;sapeur-pompier;Moreno;NON;0;300k-600k;70k-100k;PhD;Private;Van;no;0;13.0;Highly Urban/ Urban;05/01/2022 09:29;complet;dev_premium;374,18
296809989;F;technicien de la circulation ferroviaire SNCF;Schneider;OUI;0; 0k-300k;40k-70k;Masters;Commercial;Van;yes;4;9.0;Highly Urban/ Urban;14/05/2022 13:46;complet;dev_integral;293
176300530;M;dessinateur-projeteur;Moreno;NON;0; 0k-300k;40k-70k;Bachelors;Private;z_SUV;no;2;12.0;Highly Urban/ Urban;20/04/2022 10:04;complet;dev_express;255,32
105813423;F;credit manager;Payet Bertrand S.A.;OUI;1;Non connue;20k-40k;z_High School;Private;Van;yes;0;1.0;Highly Urban/ Urban;22/01/2022 11:01;complet;dev_express;267,14
305504579;F;rédacteur on line;Masson;OUI;1; 0k-300k;20k-40k;z_High School;Private;Sports Car;no;1;7.0;Highly Urban/ Urban;26/04/2022 16:17;complet;dev_express;254,03
726219892;F;agent de propreté urbaine;Morvan;NON;0; 0k-300k;70k-100k;Masters;Private;Minivan;no;0;16.0;Highly Urban/ Urban;23/03/2022 15:45;complet;dev_integral;298,3
790543950;F;chargé de veille législative et réglementaire;Besnard S.A.S.;NON;0; 0k-300k;40k-70k;Bachelors;Private;Pickup;no;0;8.0;Highly Urban/ Urban;27/04/2022 03:37;complet;dev_express;259,8
317314544;F;guide-conférencier;Couturier Paul SARL;OUI;0; 0k-300k;40k-70k;Bachelors;Commercial;Van;no;0;5.0;Highly Urban/ Urban;24/05/2022 02:44;complet;dev_integral;289,65
992004739;F;conducteur de machines à papier;Didier S.A.;OUI;0; 0k-300k;20k-40k;<High School;Private;Sports Car;no;0;1.0;Highly Urban/ Urban;09/05/2022 23:43;complet;dev_express;252,04
845009116;F;assistant maternel maternelle;Marques;NON;0; 0k-300k;-20k;Bachelors;Private;z_SUV;no;0;6.0;Highly Urban/ Urban;22/04/2022 08:38;complet;dev_integral;284,73
143078256;M;professeur dans l'enseignement agricole;Hubert;NON;0; 0k-300k;40k-70k;z_High School;Private;z_SUV;no;5;1.0;Highly Urban/ Urban;17/05/2022 07:36;complet;dev_express;253,32
437006760;M;avocat;Tessier Clément SA;NON;0; 0k-300k;70k-100k;Bachelors;Private;Pickup;no;0;7.0;Highly Urban/ Urban;01/05/2022 22:37;complet;dev_express;266
788829442;M;pharmacien;Petit Sauvage S.A.;NON;0; 0k-300k;-20k;<High School;Private;Minivan;no;3;5.0;z_Highly Rural/ Rural;29/05/2022 10:50;complet;dev_express;258,13
665180201;M;assistant dentaire;Étienne S.A.;OUI;0; 0k-300k;20k-40k;Bachelors;Private;z_SUV;yes;2;13.0;Highly Urban/ Urban;04/04/2022 09:48;complet;dev_express;259,15
554270628;F;dépanneur en électroménager;Legros Wagner SA;NON;0; 0k-300k;70k-100k;Bachelors;Commercial;Pickup;no;1;3.0;Highly Urban/ Urban;27/01/2022 21:31;complet;dev_integral;303,74
323105809;F;ingénieur frigoriste;Cousin;NON;0; 0k-300k;70k-100k;Bachelors;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;13/01/2022 03:29;complet;dev_integral;304,33
316861921;M;responsable de laboratoire de recherche;Marchand S.A.R.L.;NON;0;300k-600k;Pas de revenus;PhD;Private;z_SUV;no;2;12.0;Highly Urban/ Urban;08/01/2022 11:18;complet;dev_express;272,22
279632339;M;responsable de production alimentaire;David et Fils;NON;0; 0k-300k;70k-100k;Bachelors;Private;Minivan;yes;2;9.0;Highly Urban/ Urban;05/04/2022 09:02;complet;dev_integral;289,83
954212606;F;prothésiste dentaire;Foucher;OUI;0;Non connue;70k-100k;z_High School;Private;Minivan;no;2;9.0;z_Highly Rural/ Rural;14/02/2022 02:00;complet;dev_premium;481,13
1900527;M;ascensoriste;Couturier Perrin et Fils;NON;0; 0k-300k;40k-70k;Bachelors;Private;Pickup;no;0;8.0;Highly Urban/ Urban;14/01/2022 13:12;complet;dev_express;250,31
958601721;F;coiffeur;Collin Durand SA;NON;0; 0k-300k;Pas de revenus;Masters;Private;z_SUV;no;1;18.0;Highly Urban/ Urban;20/04/2022 02:38;complet;dev_integral;312,28
827178489;F;architecte des systèmes d'information;Martineau;NON;0; 0k-300k;70k-100k;z_High School;Commercial;Minivan;no;5;1.0;Highly Urban/ Urban;10/05/2022 13:40;complet;dev_express;270,62
194669970;M;responsable de laboratoire de contrôle en chimie;Langlois;NON;0; 0k-300k;40k-70k;Bachelors;Commercial;Panel Truck;no;4;11.0;Highly Urban/ Urban;24/01/2022 17:35;complet;dev_premium;387,55
640048389;F;ingénieur recherche et développement en agroalimentaire;Leroy Leblanc S.A.;NON;0; 0k-300k;40k-70k;<High School;Private;Minivan;no;4;6.0;Highly Urban/ Urban;01/02/2022 04:48;complet;dev_express;250,56
606191446;M;formulateur;Charpentier S.A.R.L.;NON;0; 0k-300k;Pas de revenus;z_High School;Private;Minivan;yes;1;1.0;Highly Urban/ Urban;20/04/2022 07:29;complet;dev_premium;365,92
664499270;M;agent de constatation des douanes;Gauthier S.A.R.L.;NON;0; 0k-300k;-20k;z_High School;Private;Sports Car;no;0;3.0;z_Highly Rural/ Rural;02/01/2022 10:07;complet;dev_express;262,36
642975749;M;administrateur judiciaire;Jacquot S.A.;NON;0; 0k-300k;Pas de revenus;z_High School;Commercial;Van;yes;0;8.0;z_Highly Rural/ Rural;18/02/2022 08:51;complet;dev_express;277,09
542062164;F;responsable de production alimentaire;Regnier SARL;OUI;0;Non connue;20k-40k;Bachelors;Commercial;z_SUV;no;0;4.0;Highly Urban/ Urban;27/04/2022 19:14;complet;dev_express;259,21
270119970;M;cryptologue;Camus Arnaud SA;NON;0; 0k-300k;-20k;<High School;Private;Sports Car;no;1;;z_Highly Rural/ Rural;09/05/2022 03:37;complet;dev_express;250,69
752309500;M;agent de développement touristique;Bourdon;NON;0;Non connue;40k-70k;z_High School;Commercial;Pickup;yes;2;8.0;Highly Urban/ Urban;14/01/2022 21:13;complet;dev_express;283,5
296960793;M;développeur économique;Le Roux;NON;0; 0k-300k;40k-70k;z_High School;Private;Minivan;yes;0;9.0;Highly Urban/ Urban;30/03/2022 13:20;complet;dev_express;263,27
377628766;M;enseignant d'art;Marchal;NON;0; 0k-300k;Pas de revenus;Masters;Private;Minivan;no;0;17.0;Highly Urban/ Urban;25/01/2022 00:58;complet;dev_premium;467,09
109627178;F;conseiller en séjour;Fernandez et Fils;OUI;1; 0k-300k;20k-40k;z_High School;Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;28/05/2022 07:13;complet;dev_express;256,57
314006147;M;géochimiste;Besson S.A.R.L.;NON;0; 0k-300k;40k-70k;Masters;Private;Minivan;no;0;13.0;Highly Urban/ Urban;12/02/2022 08:10;complet;dev_premium;546,4
329152754;M;hydrogéologue;Aubert SA;OUI;0; 0k-300k;40k-70k;Masters;Private;Sports Car;no;0;2.0;z_Highly Rural/ Rural;11/01/2022 16:57;complet;dev_integral;281,17
251851062;M;juge d'instruction;Nicolas S.A.S.;NON;0; 0k-300k;40k-70k;z_High School;Commercial;Minivan;no;3;1.0;Highly Urban/ Urban;15/04/2022 05:20;complet;dev_express;268,99
938303236;F;chef de projet multimédia;Roux;OUI;0; 0k-300k;20k-40k;<High School;Private;Minivan;no;1;1.0;Highly Urban/ Urban;28/03/2022 10:41;complet;dev_premium;363,96
134426064;F;toiletteur d'animaux;Valentin;NON;0; 0k-300k;70k-100k;z_High School;Private;Sports Car;no;6;1.0;Highly Urban/ Urban;26/02/2022 21:26;complet;dev_premium;466,36
448101140;M;modéliste;Gilles S.A.;NON;0; 0k-300k;40k-70k;z_High School;Private;Van;yes;0;1.0;Highly Urban/ Urban;17/01/2022 08:39;complet;dev_express;268,35
809433095;F;ascensoriste;Thibault;NON;0; 0k-300k;40k-70k;Bachelors;Private;Pickup;no;4;11.0;Highly Urban/ Urban;16/04/2022 00:13;complet;dev_integral;289,43
943460621;F;miroitier;Hebert;NON;0;Non connue;20k-40k;z_High School;Commercial;Pickup;yes;1;5.0;z_Highly Rural/ Rural;12/01/2022 03:39;complet;dev_integral;300,42
426770568;M;géomaticien;Chauveau;NON;0; 0k-300k;20k-40k;z_High School;Private;Minivan;no;7;1.0;Highly Urban/ Urban;23/03/2022 01:48;complet;dev_express;269,18
877092530;F;conseiller agricole;Blot S.A.R.L.;OUI;1; 0k-300k;40k-70k;<High School;Private;Minivan;yes;0;6.0;Highly Urban/ Urban;17/04/2022 15:27;complet;dev_integral;289,01
300696853;M;guichetier;Huet;OUI;0; 0k-300k;40k-70k;PhD;Private;Van;yes;1;8.0;Highly Urban/ Urban;05/05/2022 04:13;complet;dev_integral;336,96
819681380;M;conducteur de bus ou d'autocar;Lebon Noël SARL;NON;0; 0k-300k;40k-70k;z_High School;Commercial;z_SUV;no;0;1.0;Highly Urban/ Urban;28/02/2022 07:30;complet;dev_integral;326,68
915517588;M;mécatronicien;Boyer;OUI;0; 0k-300k;-20k;Masters;Commercial;Pickup;no;2;12.0;Highly Urban/ Urban;12/02/2022 17:39;complet;dev_integral;311,52
131312301;F;conducteur de travaux;Albert Besson et Fils;OUI;0; 0k-300k;40k-70k;z_High School;Private;Minivan;no;0;1.0;Highly Urban/ Urban;07/01/2022 19:37;complet;dev_integral;316,17
861285967;M;agent d'exploitation de l'eau;Delahaye Roy SA;NON;0; 0k-300k;Pas de revenus;Bachelors;Private;Minivan;no;6;11.0;Highly Urban/ Urban;07/01/2022 13:02;complet;dev_integral;302,17
918559086;M;paléontologue;Schneider S.A.;NON;0; 0k-300k;Pas de revenus;Masters;Commercial;Panel Truck;yes;4;17.0;Highly Urban/ Urban;12/01/2022 00:08;complet;dev_express;280,21
64779757;M;dépanneur en électroménager;Huet et Fils;NON;0; 0k-300k;70k-100k;Bachelors;Private;Minivan;yes;1;12.0;Highly Urban/ Urban;24/05/2022 14:39;complet;dev_premium;446,55
281256236;M;employé d'élevage;Rivière;OUI;0;300k-600k;Pas de revenus;PhD;Commercial;Panel Truck;yes;0;14.0;Highly Urban/ Urban;25/03/2022 12:49;complet;dev_integral;296,83
528698470;F;chef de projet sites et sols pollués;Briand Rodrigues S.A.;OUI;1; 0k-300k;-20k;<High School;Private;Minivan;no;0;5.0;Highly Urban/ Urban;02/01/2022 00:52;complet;dev_integral;338,3
643171611;M;ingénieur analyste de l'air;Tanguy;OUI;0; 0k-300k;40k-70k;Bachelors;Commercial;Minivan;yes;1;12.0;z_Highly Rural/ Rural;01/03/2022 04:35;complet;dev_integral;318,54
430670098;F;magistrat;Huet Philippe S.A.;OUI;0;300k-600k;Pas de revenus;Bachelors;Private;Minivan;yes;5;11.0;Highly Urban/ Urban;28/01/2022 11:20;complet;dev_express;268,71
64308498;M;consultant en solutions intégrées;Baron;NON;0; 0k-300k;-20k;z_High School;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;29/04/2022 08:01;complet;dev_premium;368,88
937660052;M;chef de projet éolien;Morvan Dumont SARL;NON;0; 0k-300k;70k-100k;Bachelors;Commercial;z_SUV;no;0;9.0;Highly Urban/ Urban;20/01/2022 00:10;complet;dev_integral;283,7
994894155;M;esthéticien-cosméticien;Perrot;OUI;1; 0k-300k;Pas de revenus;Bachelors;Commercial;Minivan;no;0;12.0;Highly Urban/ Urban;06/05/2022 14:07;complet;dev_express;257,9
384934557;M;mécanicien-réparateur en matériel agricole;Goncalves S.A.;OUI;0; 0k-300k;-20k;z_High School;Private;z_SUV;no;0;8.0;Highly Urban/ Urban;14/03/2022 17:19;complet;dev_express;262,95
726538399;F;chargé hygiène sécurité environnement (HSE);Joly;OUI;0; 0k-300k;40k-70k;z_High School;Commercial;Minivan;no;2;6.0;Highly Urban/ Urban;20/03/2022 10:44;complet;dev_express;284,02
233104477;F;responsable e-CRM;Pasquier et Fils;NON;0; 0k-300k;70k-100k;Bachelors;Private;z_SUV;no;0;14.0;Highly Urban/ Urban;18/01/2022 01:43;complet;dev_premium;348,22
91970915;F;technicien de police technique et scientifique;Pichon;OUI;1; 0k-300k;20k-40k;<High School;Private;Minivan;no;0;1.0;z_Highly Rural/ Rural;23/01/2022 11:52;complet;dev_premium;483,26
427973991;F;comédien;Berger;OUI;1; 0k-300k;40k-70k;Bachelors;Private;Sports Car;no;0;11.0;z_Highly Rural/ Rural;07/01/2022 23:42;complet;dev_express;274,9
44950663;F;brodeur;Carlier;OUI;2; 0k-300k;-20k;z_High School;Private;Pickup;no;0;7.0;Highly Urban/ Urban;02/01/2022 23:14;complet;dev_integral;306,52
299869772;M;ingénieur d'études en sûreté nucléaire;Joly;OUI;2; 0k-300k;40k-70k;z_High School;Commercial;Sports Car;no;2;1.0;Highly Urban/ Urban;23/05/2022 03:25;complet;dev_integral;339,12
693292141;M;expert-comptable;Munoz SARL;NON;0; 0k-300k;70k-100k;Masters;Private;Minivan;no;0;15.0;Highly Urban/ Urban;29/05/2022 09:22;complet;dev_integral;312,73
405093473;M;surveillant de centre pénitentiaire;Delorme Schneider S.A.R.L.;NON;0; 0k-300k;-20k;PhD;Private;z_SUV;no;0;13.0;z_Highly Rural/ Rural;09/02/2022 09:54;complet;dev_integral;317,97
141677056;M;animateur d'activités physiques et sportives pour tous;Chevalier;OUI;0;300k-600k;70k-100k;Masters;Private;Minivan;yes;2;11.0;Highly Urban/ Urban;17/02/2022 21:50;complet;dev_express;271,71
111008804;M;consultant en validation;Pierre et Fils;NON;0; 0k-300k;Pas de revenus;Bachelors;Private;z_SUV;no;0;12.0;Highly Urban/ Urban;06/05/2022 08:05;complet;dev_integral;322,69
994001102;F;viticulteur;Gallet;NON;0; 0k-300k;40k-70k;Bachelors;Private;Pickup;yes;0;11.0;Highly Urban/ Urban;25/01/2022 10:57;complet;dev_integral;332,12
570595259;F;technicien en automatismes;Gomez S.A.S.;OUI;0; 0k-300k;20k-40k;Masters;Private;Van;no;4;9.0;Highly Urban/ Urban;01/01/2022 10:42;complet;dev_integral;332,07
700098445;M;ingénieur du son;Léger;NON;0; 0k-300k;70k-100k;Bachelors;Private;Minivan;no;0;8.0;Highly Urban/ Urban;02/04/2022 23:05;complet;dev_integral;292,8
778020709;M;assistant de gestion en PME;Aubert S.A.;NON;0; 0k-300k;Pas de revenus;z_High School;Private;Minivan;no;2;1.0;Highly Urban/ Urban;14/04/2022 03:03;complet;dev_integral;294,25
470060990;M;ingénieur aromaticien aromaticienne;Lebreton;NON;0; 0k-300k;-20k;z_High School;Commercial;Minivan;yes;7;1.0;z_Highly Rural/ Rural;07/03/2022 01:04;complet;dev_express;269,87
892231761;M;responsable d'élevage agricole;Masse;NON;0; 0k-300k;40k-70k;Bachelors;Commercial;Sports Car;no;1;;Highly Urban/ Urban;04/04/2022 21:37;complet;dev_premium;504,98
134794189;M;assistant de service social;Klein S.A.S.;NON;0;300k-600k;Pas de revenus;PhD;Private;Minivan;no;1;13.0;Highly Urban/ Urban;20/04/2022 04:58;complet;dev_express;254,88
457695790;F;hydraulicien;Lopes;OUI;0; 0k-300k;-20k;Bachelors;Private;Sports Car;no;0;13.0;Highly Urban/ Urban;25/02/2022 11:43;complet;dev_express;260,4
860428575;F;puériculteur;Meyer S.A.;OUI;0; 0k-300k;20k-40k;z_High School;Private;Minivan;no;8;9.0;Highly Urban/ Urban;28/05/2022 00:32;complet;dev_vip;634,21
957086884;M;chef de mission humanitaire;Lebreton Hoarau S.A.;OUI;0; 0k-300k;-20k;<High School;Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;18/03/2022 05:26;complet;dev_express;254,78
422758152;M;contrôleur aérien aérienne;Lecomte S.A.;NON;0; 0k-300k;20k-40k;z_High School;Private;Minivan;yes;3;5.0;Highly Urban/ Urban;25/02/2022 19:06;complet;dev_express;253,91
160730761;F;oenologue;Labbé Marion S.A.R.L.;OUI;1; 0k-300k;40k-70k;Bachelors;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;08/04/2022 14:50;complet;dev_integral;282,62
340247899;F;modéliste;Boyer;OUI;0; 0k-300k;70k-100k;Masters;Private;Minivan;no;0;16.0;Highly Urban/ Urban;01/05/2022 13:47;complet;dev_integral;305,95
